shipment_id,commodity,hs_code,declared_value_usd,contract_value_usd,market_price_per_unit,declared_vs_market_ratio,declared_vs_contract_ratio,market_outlier_flag,contract_deviation_flag,benford_rare_digit_flag,is_round_value,risk_score,risk_category,risk_reasons
SHP02609,Agricultural,260300,8567,7570,413.49,0.0065276495982687695,1.1317040951122854,False,True,True,False,55,High,Declared value deviates from contract value; Value pattern statistically unusual (Benford)
SHP00439,Agricultural,843890,9017,8055,2633.02,0.001510624039444064,1.1194289261328367,False,True,True,False,55,High,Declared value deviates from contract value; Value pattern statistically unusual (Benford)
SHP06476,Agricultural,843890,87823,88747,83.6,1.1468497315141766,0.989588380452297,True,False,True,False,50,High,Unusual price vs peer commodities; Value pattern statistically unusual (Benford)
SHP04376,Minerals,843890,81732,81398,353.26,3.921440682764028,1.0041032949212512,True,False,True,False,50,High,Unusual price vs peer commodities; Value pattern statistically unusual (Benford)
SHP03442,Agricultural,520942,97198,96512,82.49,1.2390119874326928,1.007107924403183,True,False,True,False,50,High,Unusual price vs peer commodities; Value pattern statistically unusual (Benford)
SHP09303,Electronics,843890,96405,97055,40.46,0.5362871207981942,0.9933027664726186,True,False,True,False,50,High,Unusual price vs peer commodities; Value pattern statistically unusual (Benford)
SHP07351,Electronics,843890,94934,93990,732.87,2.539947030704159,1.0100436216618789,True,False,True,False,50,High,Unusual price vs peer commodities; Value pattern statistically unusual (Benford)
SHP03246,Electronics,843890,5860,5172,867.69,0.0017852403015853357,1.1330239752513533,False,True,False,False,35,High,Declared value deviates from contract value
SHP08545,Electronics,843890,6884,6141,2402.88,0.0006064554315797616,1.1209900667643706,False,True,False,False,35,High,Declared value deviates from contract value
SHP02103,Minerals,100610,5925,6910,28.15,0.046804441563766015,0.8574529667149059,False,True,False,False,35,High,Declared value deviates from contract value
SHP08916,Agricultural,847130,74825,74249,50.93,2.2260202654861994,1.0077576802381176,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP02511,Agricultural,847130,146043,145386,44.33,1.3726877960748929,1.0045190045809087,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP00015,Machinery,847130,142982,142374,337.12,0.7683476575665655,1.0042704426369984,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP00128,Machinery,260300,52057,52753,84.46,0.7068244671490983,0.9868064375485754,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP03013,Electronics,847130,60627,60295,45.62,1.8665120758192988,1.005506260883987,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP02982,Agricultural,847130,149654,150535,24.32,1.8910682803351342,0.9941475404391006,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP02948,Electronics,847130,146448,146380,213.0,0.5947658267946782,1.000464544336658,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP09022,Minerals,100610,117946,118574,5.63,5.758536544878073,0.9947037293167136,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP08958,Machinery,100610,45603,45400,13.3,1.1100022636714804,1.0044713656387665,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP09774,Textiles,520942,65444,66070,79.07,0.9912235728366211,0.9905252005448767,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP03319,Electronics,260300,105584,106163,18.78,1.19391616579043,0.9945461224720477,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP01569,Electronics,843890,130802,130901,2554.59,0.7314676719160412,0.9992437032566596,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP08809,Agricultural,847130,112691,113655,524.85,1.1543595149049242,0.9915181910166733,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP03817,Machinery,843890,143741,143130,115.51,3.2406330260006344,1.0042688465031788,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP03970,Textiles,260300,143419,143550,155.27,3.6365153106425225,0.9990874259839777,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP04081,Machinery,520942,117994,117112,462.1,1.1766958495428104,1.0075312521347086,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP04842,Minerals,847130,124050,123358,55.52,4.597386771978511,1.0056096888730361,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP05034,Textiles,260300,127851,127612,201.38,1.0797183110010315,1.001872864620882,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP03530,Textiles,847130,74642,75367,91.4,0.9248607913642322,0.9903804052171374,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP03260,Electronics,847130,106666,107156,44.47,0.7138707743047747,0.9954272275934152,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP05560,Electronics,847130,146987,147847,65.88,0.7414863283051071,0.9941831758507105,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP05533,Machinery,520942,68720,67757,215.64,0.8007017092511343,1.0142125536844901,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP06224,Electronics,260300,103015,103003,1889.38,0.5452317691517853,1.0001165014611224,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP06086,Machinery,847130,149369,150286,977.9,0.9983310909665704,0.9938983005735731,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP06586,Agricultural,843890,143082,142974,59.33,1.2118743049479659,1.0007553820974442,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP00875,Machinery,847130,43192,43318,50.86,0.8150030606014176,0.9970912784523754,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP08434,Agricultural,520942,141349,142209,384.2,7.075091098386257,0.9939525627773207,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP06498,Machinery,520942,63611,62966,710.71,0.9323276488769446,1.0102436235428645,True,False,False,False,30,Medium,Unusual price vs peer commodities
